Parameter Name,Value
General Information,
Sample name:,
Start of measurement:,11*16*2018 3:01:25 PM
Stop of measurement:,11*21*2018 1:41:29 PM
Duration of Measurements:,4 Days
Geometric Parameters,
Soil surface area [cm2]:,249
Soil column height [cm]:,5.1
Position lower tensiometer [cm]:,3.75
Position upper tensiometer [cm]:,1.25
HYPROP Parameters,
Measurement head net weight [g]:,388
Empty soil sampling ring weight [g]:,204.6
Air entry pressure upper tensiometer [bar]:,8.8
Air entry pressure lower tensiometer [bar]:,8.8
Density of solid substance [g/cm3]:,2.65
Statistical analysis,
Tensiometer [hPa]:,0.15
Scale [g]:,0.05
Sensor Unit Information,
Busnumber:,29
Subaddress:,3
Serial number:,2082
Sensor unit name:,MY-HYPROP---
Firmware Version:,1.4
Scale Information,
Serial number:,184226046
Scale name:,HYPROP Balance
Correction,
Volume correction [ml]:,0
Weight correction [g]:,0
Start/Stop Line,
Start,11*16*2018 3:01:25 PM
Stop,11*20*2018 1:46:54 PM
,
Calculation of water contents,
Calculation of water contents,From dry soil weight [g]:
Initial water content [Vol%]:,0.495050295434817
Dry soil weight [g]:,116
Additional Soil Paramters,
Density [g/cm3]:,1.17
Porosity [-]:,0.56
Fitting Parameters,
INTERPOL,2
Tensiometer_Mean,2
Polynomial_degree,5
wtheta,1
wk,0.001
Fitting,
Model Description,traditional constrained van Genuchten-Mualem model
Notes,
General data,
- Site coordinates,
- Sampling date,
- Site description,
- Soil type,
- Land use,
Soil physical data,
"- Texture (%clay, %silt, %sand)",
- Soil texture class,
- Sampling depth,
- Organic carbon content,
Sample preparation and handling,
- Initial saturation procedure,
"- Swelling handling (suppressed, not suppressed, under load)",
Date / Time,Tension bottom [hPa],Tension top [hPa],Temperature [°C],Gross weight [g],Net weight [g],Weight change [g]
11*17*2018 5:40:00 AM,14.22,17.18,14.46,751.86,159.26,-5.75
11*17*2018 5:50:01 AM,14.33,17.31,14.44,751.81,159.21,-5.8
11*17*2018 6:00:13 AM,14.56,17.57,14.42,751.75,159.15,-5.86
11*17*2018 6:10:23 AM,14.71,17.64,14.4,751.7,159.1,-5.91
11*17*2018 6:20:35 AM,14.82,17.72,14.38,751.65,159.05,-5.96
11*17*2018 6:30:49 AM,15.21,18.11,14.36,751.58,158.98,-6.03
11*17*2018 6:40:54 AM,15.36,18.31,14.33,751.53,158.93,-6.08
11*17*2018 6:50:55 AM,15.57,18.53,14.31,751.47,158.87,-6.14
11*17*2018 7:01:11 AM,15.71,18.71,14.29,751.41,158.81,-6.2
11*17*2018 7:11:14 AM,15.95,18.91,14.27,751.35,158.75,-6.26
11*17*2018 7:21:28 AM,16.14,19.09,14.25,751.3,158.7,-6.31
11*17*2018 7:31:41 AM,16.24,19.2,14.22,751.25,158.65,-6.36
11*17*2018 7:41:56 AM,16.39,19.33,14.19,751.19,158.59,-6.42
11*17*2018 7:51:56 AM,16.51,19.55,14.16,751.14,158.54,-6.47
11*17*2018 8:02:13 AM,16.82,19.7,14.12,751.08,158.48,-6.53
11*17*2018 8:12:17 AM,17.03,19.97,14.1,751.02,158.42,-6.59
11*17*2018 8:22:31 AM,17.25,20.18,14.09,750.96,158.36,-6.65
11*17*2018 8:32:49 AM,17.48,20.4,14.08,750.9,158.3,-6.71
11*17*2018 8:43:02 AM,17.45,20.38,14.08,750.86,158.26,-6.75
11*17*2018 8:53:04 AM,17.68,20.64,14.08,750.8,158.2,-6.81
11*17*2018 9:03:06 AM,17.9,20.87,14.09,750.75,158.15,-6.86
