Parameter Name,Value
General Information,
Sample name:,
Start of measurement:,10*4*2018 2:55:20 PM
Stop of measurement:,10*7*2018 6:14:07 PM
Duration of Measurements:,3 Days
Geometric Parameters,
Soil surface area [cm2]:,249
Soil column height [cm]:,5.1
Position lower tensiometer [cm]:,3.75
Position upper tensiometer [cm]:,1.25
HYPROP Parameters,
Measurement head net weight [g]:,388
Empty soil sampling ring weight [g]:,208.6
Air entry pressure upper tensiometer [bar]:,8.8
Air entry pressure lower tensiometer [bar]:,8.8
Density of solid substance [g/cm3]:,2.65
Statistical analysis,
Tensiometer [hPa]:,0.15
Scale [g]:,0.05
Sensor Unit Information,
Busnumber:,29
Subaddress:,3
Serial number:,2082
Sensor unit name:,MY-HYPROP---
Firmware Version:,1.4
Scale Information,
Serial number:,184226046
Scale name:,HYPROP Balance
Correction,
Volume correction [ml]:,0
Weight correction [g]:,0
Start/Stop Line,
Start,10*4*2018 2:55:20 PM
Stop,10*7*2018 6:04:04 PM
,
Calculation of water contents,
Calculation of water contents,From dry soil weight [g]:
Initial water content [Vol%]:,0.570302943990688
Dry soil weight [g]:,101.5
Additional Soil Paramters,
Density [g/cm3]:,1.03
Porosity [-]:,0.61
Fitting Parameters,
INTERPOL,2
Tensiometer_Mean,2
Polynomial_degree,5
wtheta,1
wk,0.001
Fitting,
Model Description,traditional constrained van Genuchten-Mualem model
Notes,
General data,
- Site coordinates,
- Sampling date,
- Site description,
- Soil type,
- Land use,
Soil physical data,
"- Texture (%clay, %silt, %sand)",
- Soil texture class,
- Sampling depth,
- Organic carbon content,
Sample preparation and handling,
- Initial saturation procedure,
"- Swelling handling (suppressed, not suppressed, under load)",
Date / Time,Tension bottom [hPa],Tension top [hPa],Temperature [°C],Gross weight [g],Net weight [g],Weight change [g]
10*4*2018 3:59:17 PM,-0.17,3.79,20.17,754.11,157.51,-0.45
10*4*2018 4:00:27 PM,0.02,3.62,20.16,754.11,157.51,-0.45
10*4*2018 4:01:40 PM,-0.36,3.31,20.16,754.1,157.5,-0.46
10*4*2018 4:02:55 PM,0.72,2.85,20.15,754.09,157.49,-0.47
10*4*2018 4:04:06 PM,0.73,3.16,20.14,754.09,157.49,-0.47
10*4*2018 4:05:19 PM,0.26,3.73,20.14,754.08,157.48,-0.48
10*4*2018 4:06:33 PM,0.31,3.84,20.13,754.08,157.48,-0.48
10*4*2018 4:16:35 PM,0.78,4.36,20.07,754.03,157.43,-0.53
10*4*2018 4:26:41 PM,0.99,4.45,19.99,753.98,157.38,-0.58
10*4*2018 4:36:48 PM,1.76,5.27,19.91,753.93,157.33,-0.63
10*4*2018 4:46:50 PM,2.24,5.69,19.84,753.88,157.28,-0.68
10*4*2018 4:56:50 PM,3.13,6.57,19.75,753.83,157.23,-0.73
10*4*2018 5:06:56 PM,3.13,6.66,19.66,753.78,157.18,-0.78
10*4*2018 5:17:00 PM,3.25,6.74,19.59,753.74,157.14,-0.82
10*4*2018 5:27:02 PM,4.31,7.77,19.53,753.68,157.08,-0.88
10*4*2018 5:37:04 PM,4.15,7.66,19.46,753.62,157.02,-0.94
10*4*2018 5:47:08 PM,5.18,8.67,19.39,753.57,156.97,-0.99
10*4*2018 5:57:13 PM,4.64,8.39,19.29,753.52,156.92,-1.04
10*4*2018 6:07:20 PM,5.7,9.22,19.19,753.46,156.86,-1.1
10*4*2018 6:17:27 PM,6.06,9.56,19.08,753.41,156.81,-1.15
10*4*2018 6:27:33 PM,6.69,10.18,18.97,753.36,156.76,-1.2
10*4*2018 6:37:37 PM,6.75,10.22,18.87,753.31,156.71,-1.25
10*4*2018 6:47:42 PM,7.46,10.97,18.79,753.26,156.66,-1.3
10*4*2018 6:57:43 PM,7.89,11.38,18.7,753.21,156.61,-1.35
10*4*2018 7:07:46 PM,8.38,11.88,18.61,753.16,156.56,-1.4
10*4*2018 7:17:54 PM,9.17,12.61,18.5,753.1,156.5,-1.46
10*4*2018 7:28:14 PM,9.86,13.38,18.4,753.04,156.44,-1.52
10*4*2018 7:38:25 PM,10.65,14.13,18.31,752.99,156.39,-1.57
10*4*2018 7:48:28 PM,11.2,14.64,18.22,752.94,156.34,-1.62
10*4*2018 7:58:39 PM,11.76,15.22,18.13,752.88,156.28,-1.68
10*4*2018 8:08:44 PM,12.49,15.93,18.05,752.82,156.22,-1.74
10*4*2018 8:18:50 PM,9.69,13.34,17.98,752.77,156.17,-1.79
10*4*2018 8:28:55 PM,10.42,13.8,17.92,752.71,156.11,-1.85
10*4*2018 8:38:58 PM,11.44,14.89,17.86,752.66,156.06,-1.9
10*4*2018 8:49:09 PM,10.63,14.08,17.81,752.62,156.02,-1.94
10*4*2018 8:59:13 PM,10.14,13.47,17.76,752.57,155.97,-1.99
